submission_id,age,cups,where_drink,brew,brew_other,purchase,purchase_other,favorite,favorite_specify,additions,additions_other,dairy,sweetener,style,strength,roast_level,caffeine,expertise,coffee_a_bitterness,coffee_a_acidity,coffee_a_personal_preference,coffee_a_notes,coffee_b_bitterness,coffee_b_acidity,coffee_b_personal_preference,coffee_b_notes,coffee_c_bitterness,coffee_c_acidity,coffee_c_personal_preference,coffee_c_notes,coffee_d_bitterness,coffee_d_acidity,coffee_d_personal_preference,coffee_d_notes,prefer_abc,prefer_ad,prefer_overall,wfh,total_spend,why_drink,why_drink_other,taste,know_source,most_paid,most_willing,value_cafe,spent_equipment,value_equipment,gender,gender_specify,education_level,ethnicity_race,ethnicity_race_specify,employment_status,number_children,political_affiliation,avg_age,spend,spend_on_equipment
gMR29l,18-24 years old, 1,"At a cafe, At the office, At home, On the go",Pod/capsule machine (e.g. Keurig/Nespresso),Aeropress,"National chain (e.g. Starbucks, Dunkin), Local cafe, Drive-thru, Specialty coffee shop, Other","I don’t, cafe coffee has never appealed to me because of the cost to quantity ratio",Regular drip coffee,cortado,No - just black,Occasionally I will add collagen powder if I made instant coffee,Whole milk,"Granulated Sugar, Brown Sugar",Complex,Somewhat light,Light,Full caffeine,7.0,4.0,4.0,4.0,a,4.0,4.0,4.0,b,4.0,4.0,4.0,c,4.0,4.0,4.0,d,Coffee A,Coffee D,Coffee B,I primarily work from home,>$100,It tastes good,I don't,Yes,Yes,$4-$6,9.0,No,$500-$1000,Yes,Other (please specify),Cis,Bachelor's degree,Other (please specify),Alaskan native,Employed full-time,More than 3,Democrat,21.0,100.0,750.0
BkPN0e,25-34 years old, 1,"At a cafe, At the office, At home, On the go",Pod/capsule machine (e.g. Keurig/Nespresso),Aeropress,"National chain (e.g. Starbucks, Dunkin), Local cafe, Drive-thru, Specialty coffee shop, Other","I don’t, cafe coffee has never appealed to me because of the cost to quantity ratio",Iced coffee,cortado,"Sugar or sweetener, No - just black",Occasionally I will add collagen powder if I made instant coffee,Whole milk,"Granulated Sugar, Brown Sugar",Light,Somewhat light,Light,Full caffeine,7.0,4.0,4.0,4.0,a,4.0,4.0,4.0,b,4.0,4.0,4.0,c,4.0,4.0,4.0,d,Coffee A,Coffee D,Coffee B,I primarily work from home,>$100,It tastes good,I don't,Yes,Yes,$4-$6,9.0,No,$500-$1000,Yes,Other (please specify),Cis,Bachelor's degree,Other (please specify),Alaskan native,Employed full-time,More than 3,Democrat,29.5,100.0,750.0
W5G8jj,25-34 years old, 1,"At a cafe, At the office, At home, On the go",Bean-to-cup machine,Aeropress,"National chain (e.g. Starbucks, Dunkin), Local cafe, Drive-thru, Specialty coffee shop, Other","I don’t, cafe coffee has never appealed to me because of the cost to quantity ratio",Regular drip coffee,cortado,No - just black,Occasionally I will add collagen powder if I made instant coffee,Whole milk,"Granulated Sugar, Brown Sugar",Complex,Somewhat light,Light,Full caffeine,7.0,4.0,4.0,4.0,a,4.0,4.0,4.0,b,4.0,4.0,4.0,c,4.0,4.0,4.0,d,Coffee A,Coffee D,Coffee B,I primarily work from home,>$100,It tastes good,I don't,Yes,Yes,$4-$6,9.0,No,$500-$1000,Yes,Other (please specify),Cis,Bachelor's degree,Other (please specify),Alaskan native,Employed full-time,More than 3,Democrat,29.5,100.0,750.0
4xWgGr,35-44 years old, 1,"At a cafe, At the office, At home, On the go",Coffee brewing machine (e.g. Mr. Coffee),Aeropress,"National chain (e.g. Starbucks, Dunkin), Local cafe, Drive-thru, Specialty coffee shop, Other","I don’t, cafe coffee has never appealed to me because of the cost to quantity ratio",Iced coffee,cortado,"No - just black, Cinnamon",Occasionally I will add collagen powder if I made instant coffee,Whole milk,"Granulated Sugar, Brown Sugar",Complex,Somewhat light,Light,Full caffeine,7.0,4.0,4.0,4.0,a,4.0,4.0,4.0,b,4.0,4.0,4.0,c,4.0,4.0,4.0,d,Coffee A,Coffee D,Coffee B,I primarily work from home,>$100,It tastes good,I don't,Yes,Yes,$4-$6,9.0,No,$500-$1000,Yes,Other (please specify),Cis,Bachelor's degree,Other (please specify),Alaskan native,Employed full-time,More than 3,Democrat,39.5,100.0,750.0
QD27Q8,25-34 years old, 1,"At a cafe, At the office, At home, On the go",Pour over,Aeropress,"National chain (e.g. Starbucks, Dunkin), Local cafe, Drive-thru, Specialty coffee shop, Other","I don’t, cafe coffee has never appealed to me because of the cost to quantity ratio",Latte,cortado,No - just black,Occasionally I will add collagen powder if I made instant coffee,Whole milk,"Granulated Sugar, Brown Sugar",Sweet,Somewhat light,Light,Full caffeine,7.0,4.0,4.0,4.0,a,4.0,4.0,4.0,b,4.0,4.0,4.0,c,4.0,4.0,4.0,d,Coffee A,Coffee D,Coffee B,I primarily work from home,>$100,It tastes good,I don't,Yes,Yes,$4-$6,9.0,No,$500-$1000,Yes,Other (please specify),Cis,Bachelor's degree,Other (please specify),Alaskan native,Employed full-time,More than 3,Democrat,29.5,100.0,750.0
V0LPeM,55-64 years old, 1,"At a cafe, At the office, At home, On the go","Pod/capsule machine (e.g. Keurig/Nespresso), Espresso, French press",Aeropress,"National chain (e.g. Starbucks, Dunkin), Local cafe, Drive-thru, Specialty coffee shop, Other","I don’t, cafe coffee has never appealed to me because of the cost to quantity ratio",Iced coffee,cortado,Half & half,Occasionally I will add collagen powder if I made instant coffee,Whole milk,"Granulated Sugar, Brown Sugar",Complex,Somewhat light,Light,Full caffeine,7.0,4.0,4.0,4.0,a,4.0,4.0,4.0,b,4.0,4.0,4.0,c,4.0,4.0,4.0,d,Coffee A,Coffee D,Coffee B,I primarily work from home,>$100,It tastes good,I don't,Yes,Yes,$4-$6,9.0,No,$500-$1000,Yes,Other (please specify),Cis,Bachelor's degree,Other (please specify),Alaskan native,Employed full-time,More than 3,Democrat,59.5,100.0,750.0
V0Gaxg,18-24 years old, 1,"At a cafe, At the office, At home, On the go","Pour over, French press, Espresso, Instant coffee, Pod/capsule machine (e.g. Keurig/Nespresso)",Aeropress,"National chain (e.g. Starbucks, Dunkin), Local cafe, Drive-thru, Specialty coffee shop, Other","I don’t, cafe coffee has never appealed to me because of the cost to quantity ratio",Pourover,cortado,No - just black,Occasionally I will add collagen powder if I made instant coffee,Whole milk,"Granulated Sugar, Brown Sugar",Complex,Somewhat light,Light,Full caffeine,7.0,4.0,4.0,4.0,a,4.0,4.0,4.0,b,4.0,4.0,4.0,c,4.0,4.0,4.0,d,Coffee A,Coffee D,Coffee B,I primarily work from home,>$100,It tastes good,I don't,Yes,Yes,$4-$6,9.0,No,$500-$1000,Yes,Other (please specify),Cis,Bachelor's degree,Other (please specify),Alaskan native,Employed full-time,More than 3,Democrat,21.0,100.0,750.0
AdzRL0,18-24 years old, 1,At a cafe,"Pour over, Coffee brewing machine (e.g. Mr. Coffee), Espresso, Bean-to-cup machine",Aeropress,"Local cafe, Specialty coffee shop","I don’t, cafe coffee has never appealed to me because of the cost to quantity ratio",Pourover,cortado,No - just black,Occasionally I will add collagen powder if I made instant coffee,Whole milk,"Granulated Sugar, Brown Sugar",Light,Somewhat light,Light,Full caffeine,7.0,4.0,4.0,4.0,a,4.0,4.0,4.0,b,4.0,4.0,4.0,c,4.0,4.0,4.0,d,Coffee A,Coffee D,Coffee B,I primarily work from home,>$100,It tastes good,I don't,Yes,Yes,$4-$6,9.0,No,$500-$1000,Yes,Other (please specify),Cis,Bachelor's degree,Other (please specify),Alaskan native,Employed full-time,More than 3,Democrat,21.0,100.0,750.0
LbWda2,25-34 years old, 1,At a cafe,"Pour over, Coffee brewing machine (e.g. Mr. Coffee), Espresso, Bean-to-cup machine",Aeropress,"Local cafe, Specialty coffee shop","I don’t, cafe coffee has never appealed to me because of the cost to quantity ratio",Regular drip coffee,cortado,No - just black,Occasionally I will add collagen powder if I made instant coffee,Whole milk,"Granulated Sugar, Brown Sugar",Light,Somewhat light,Light,Full caffeine,7.0,4.0,4.0,4.0,a,4.0,4.0,4.0,b,4.0,4.0,4.0,c,4.0,4.0,4.0,d,Coffee A,Coffee D,Coffee B,I primarily work from home,>$100,It tastes good,I don't,Yes,Yes,$4-$6,9.0,No,$500-$1000,Yes,Other (please specify),Cis,Bachelor's degree,Other (please specify),Alaskan native,Employed full-time,More than 3,Democrat,29.5,100.0,750.0
EXQLWN,25-34 years old,2,"On the go, At a cafe, At home, At the office","Pour over, Coffee brewing machine (e.g. Mr. Coffee), Espresso, Bean-to-cup machine",Aeropress,"Local cafe, Specialty coffee shop","I don’t, cafe coffee has never appealed to me because of the cost to quantity ratio",Regular drip coffee,cortado,No - just black,Occasionally I will add collagen powder if I made instant coffee,Whole milk,"Granulated Sugar, Brown Sugar",Full Bodied,Somewhat light,Light,Full caffeine,7.0,1.0,1.0,1.0,a,1.0,1.0,1.0,b,1.0,1.0,1.0,c,1.0,1.0,1.0,d,Coffee A,Coffee D,Coffee B,I primarily work from home,>$100,It tastes good,I don't,Yes,Yes,$4-$6,9.0,No,$500-$1000,Yes,Other (please specify),Cis,Bachelor's degree,Other (please specify),Alaskan native,Employed full-time,More than 3,Democrat,29.5,100.0,750.0
